TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Detroit Pistons,2003-04,82,54,28,3956,100.3,93.9,6.5,62,1.37,16.6,33.2,68.6,51.2,16.8,46.1,51.1,89.34,55.8
New Orleans Hornets,2003-04,82,41,41,3966,100.7,100.6,0.1,61.9,1.4,16.4,33.2,68.1,50.2,16.4,46,50.5,90.59,49.1
Cleveland Cavaliers,2003-04,82,35,47,3971,100.6,103.1,-2.6,61.9,1.49,16.9,34,68.8,51.4,16,45.1,49.8,91.71,49.1
Philadelphia 76ers,2003-04,82,33,49,3971,97.8,100.4,-2.6,61.1,1.25,16.1,31.3,68.1,49.8,17.7,45.6,50.5,89.26,48.4
Portland Trail Blazers,2003-04,82,41,41,3996,102.1,103.5,-1.5,61,1.46,17.2,34.4,67,50.7,16.6,47.8,51.5,87.54,48.8
Seattle SuperSonics,2003-04,82,37,45,3961,105.6,106.4,-0.8,60.6,1.5,17.1,30.2,65.5,47.9,15.8,50.1,54,91.34,49.1
Denver Nuggets,2003-04,82,43,39,3946,102.4,101.4,1,59.9,1.4,16.5,33.7,66.4,49.8,16.4,46.7,51.7,94.64,50.5
Toronto Raptors,2003-04,82,33,49,3996,95.3,98.8,-3.4,59.3,1.35,15.9,27,67.3,47.1,15.9,45.4,49.5,88.24,47.6
Boston Celtics,2003-04,82,36,46,3941,100.7,102.2,-1.5,59.2,1.26,16.1,27.9,65.8,47.3,17.2,48.6,53.2,94.47,49
Dallas Mavericks,2003-04,82,52,30,3961,110.4,105.9,4.5,59.1,1.96,17.7,33.5,68.6,50.7,12.8,49.5,53.6,94.62,52.7
San Antonio Spurs,2003-04,82,57,25,3951,101,93.1,7.9,59,1.39,16.3,31.9,71,51.6,16.2,47.3,51.1,90.23,56.6
New York Knicks,2003-04,82,39,43,3976,99.7,101.3,-1.6,58.8,1.31,16.4,30.7,70.1,50.8,17,47.4,51.8,91.29,48.8
Los Angeles Clippers,2003-04,82,28,54,3961,101.9,106.6,-4.7,58.7,1.23,15.5,36.2,67.7,51.7,17.6,45.3,51.2,92.49,46.4
Golden State Warriors,2003-04,82,37,45,3971,101.5,102.6,-1.1,58.5,1.39,16.2,31.2,69.4,50.3,16.1,47.5,51.7,90.95,49.1
Atlanta Hawks,2003-04,82,28,54,3981,99.1,103.9,-4.8,58.3,1.22,15.7,30.8,68.6,50,17.6,46.5,51.4,92.68,46.6
Houston Rockets,2003-04,82,45,37,3986,99.7,97.8,1.9,57.7,1.15,15.8,30.5,70.8,51.6,18.6,48.4,52.8,88.92,51.3
Miami Heat,2003-04,82,42,40,3951,100.6,100.3,0.3,57.3,1.38,15.6,30.7,70.7,50.4,15.4,46.3,51,89.3,49.6
Washington Wizards,2003-04,82,25,57,3966,97.2,102.9,-5.7,55.7,1.07,14.5,33.3,66.7,49.6,18.6,45.4,50,93.9,44.1
Orlando Magic,2003-04,82,21,61,3966,101.4,108.8,-7.4,54.5,1.41,15.2,31.5,65.7,48.1,14.8,46.1,50.4,92.14,43.4
Phoenix Suns,2003-04,82,29,53,3946,100.3,104.2,-3.8,53.6,1.27,15.3,29.7,66.1,47.9,16.2,47.5,51.5,93.72,46.6
New Jersey Nets,2005-06,82,49,33,3956,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73,50.1,14.9,47.8,52.8,91.17,51.3
Detroit Pistons,2005-06,82,64,18,3966,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68,49.7,12.8,49.7,53.5,87.98,55.7
Utah Jazz,2005-06,82,41,41,3976,102.4,105.1,-2.7,64.6,1.37,16.9,35.6,70.2,52.6,17.4,46.7,51.9,89.4,49.7
Phoenix Suns,2005-06,82,54,28,3991,110.2,104.7,5.4,63.5,2,19.5,25.6,69,48,13.5,53.7,56.8,96.92,54.7
Denver Nuggets,2005-06,82,44,38,3986,104.4,104.1,0.3,62.4,1.58,17.6,30,68.2,49.4,15.4,48.8,53.5,94.9,51.2
Sacramento Kings,2005-06,82,44,38,3966,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5
Chicago Bulls,2005-06,82,41,41,3981,103.3,102.7,0.7,60.1,1.47,16.9,30.3,70.3,50.3,15.8,48.7,52.7,93.59,50.1
Milwaukee Bucks,2005-06,82,40,42,3971,104.9,105.9,-1,59.4,1.48,16.8,30.9,71.3,50.7,15.7,49.2,53.5,92.45,48.6
Minnesota Timberwolves,2005-06,82,33,49,3971,101.5,103.5,-2,59.4,1.44,16.9,29.6,67.3,49,16,48,52.4,89.58,50.3
Indiana Pacers,2005-06,82,41,41,3946,103.1,101,2,58.5,1.3,16,30.4,69.9,50.6,16.8,48.7,53.3,90.85,51.4
Houston Rockets,2005-06,82,34,48,3966,100.4,102.1,-1.7,58.3,1.32,15.8,29.1,70.5,50.1,16.2,47.1,51.9,89.07,49
Boston Celtics,2005-06,82,33,49,3976,104,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5
Charlotte Bobcats,2005-06,82,26,56,3981,101.2,105.6,-4.4,58,1.47,15.9,30.5,67.8,47.9,14.9,46.4,50.9,94.57,46.3
Los Angeles Lakers,2005-06,82,45,37,3971,106.8,104.2,2.6,58,1.52,16.5,31.6,70.1,50.7,15,49.5,53.9,92.22,51.8
Memphis Grizzlies,2005-06,82,49,33,3971,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69,49.6,15.7,49.6,53.7,87.39,51.6
Golden State Warriors,2005-06,82,34,48,3966,103.5,104.9,-1.4,57.6,1.47,15.9,29.6,68.6,48.5,14.8,47.9,52.1,94.43,47.5
San Antonio Spurs,2005-06,82,63,19,3961,106.2,98.7,7.5,57.4,1.52,17,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4
Los Angeles Clippers,2005-06,82,47,35,3961,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54,92.99,52.3
Miami Heat,2005-06,82,52,30,3951,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8
Atlanta Hawks,2005-06,82,26,56,3976,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2
Seattle SuperSonics,2005-06,82,35,47,3966,109.4,112.7,-3.3,55.1,1.4,16,34,65.9,49.5,15.7,50.4,55.1,93.04,46.7
Philadelphia 76ers,2005-06,82,38,44,3981,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2
New Orleans/Oklahoma City Hornets,2005-06,82,38,44,3961,102.3,105.1,-2.8,53.7,1.39,15.1,29.7,70.9,49.7,14.7,46.4,51.5,90.32,48.4
Cleveland Cavaliers,2005-06,82,50,32,3966,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51
Portland Trail Blazers,2005-06,82,21,61,3946,99.7,110.3,-10.7,53.4,1.24,15.1,30.8,65.7,48,16.5,47.4,51.1,88.88,42.4
