coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,0.461,,,,12.0,7.0,5.0,71.0,38.0,33.0,2010,LAC,Clippers,LAC2010,2010-2011,7.0,3.0,4.0,14.0,32.0,50.0,Lottery,1.0,0.0,8.0,5.0,1.0,24.4,82.0,52.0,30.0,3966.0,107.4,101.8,5.6,55.3,1.34,15.9,30.4,72.3,51.8,16.2,52.1,55.4,91.55,53.4
Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,8,25,0.242,,,,,,,,,,2010,LAC,Clippers,LAC2010,2010-2011,7.0,3.0,4.0,14.0,32.0,50.0,Lottery,1.0,0.0,8.0,5.0,1.0,24.4,82.0,52.0,30.0,3966.0,107.4,101.8,5.6,55.3,1.34,15.9,30.4,72.3,51.8,16.2,52.1,55.4,91.55,53.4
Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,0.705,23.0,16.0,7.0,171.0,114.0,57.0,323.0,225.0,98.0,2010,LAL,Lakers,LAL2010,2010-2011,5.0,4.0,6.0,15.0,57.0,25.0,Second Round,2.0,0.0,9.0,5.0,1.0,28.7,82.0,62.0,20.0,3966.0,107.2,99.5,7.8,60.1,1.57,17.3,33.2,71.7,52.8,15.4,50.1,54.1,91.2,55.5
Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,0.384,,,,,,,,,,2010,MEM,Grizzlies,MEM2010,2010-2011,8.0,3.0,3.0,14.0,46.0,36.0,Second Round,0.0,0.0,9.0,3.0,2.0,24.3,82.0,40.0,42.0,4001.0,108.6,109.4,-0.8,60.4,1.66,17.9,27.5,68.1,48.0,14.7,52.2,55.9,95.18,49.4
Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,0.5489999999999999,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,2010,MIA,Heat,MIA2010,2010-2011,3.0,2.0,10.0,15.0,58.0,24.0,NBA Finals (Loss),3.0,0.0,9.0,4.0,2.0,29.4,82.0,46.0,36.0,3976.0,107.0,104.5,2.5,52.8,1.48,16.0,33.3,68.2,50.5,15.0,49.3,53.4,92.42,51.8
Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,0.519,7.0,3.0,4.0,7.0,3.0,4.0,42.0,18.0,24.0,2010,MIL,Bucks,MIL2010,2010-2011,6.0,5.0,3.0,14.0,35.0,47.0,Lottery,0.0,0.0,8.0,5.0,1.0,26.3,82.0,24.0,58.0,3971.0,102.9,108.4,-5.5,53.4,1.27,15.4,33.4,70.2,51.2,16.7,48.0,51.9,95.76,46.2
Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,39,80,0.32799999999999996,,,,,,,8.0,3.0,5.0,2010,MIN,Timberwolves,MIN2010,2010-2011,6.0,5.0,2.0,13.0,17.0,65.0,Lottery,1.0,0.0,11.0,1.0,1.0,23.2,82.0,32.0,50.0,3971.0,104.8,108.0,-3.2,60.1,1.35,16.9,33.0,69.2,51.1,17.4,49.6,53.5,93.35,48.3
Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,225,241,0.483,,,,38.0,18.0,20.0,38.0,18.0,20.0,2010,NJN,Nets,NJN2010,2010-2011,2.0,6.0,7.0,15.0,24.0,58.0,Lottery,0.0,0.0,9.0,1.0,5.0,24.6,82.0,57.0,25.0,3966.0,109.6,103.3,6.3,57.6,1.68,17.0,32.5,69.2,51.3,14.1,50.2,54.5,91.78,54.1
Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0,2,0.0,,,,,,,,,,2010,NJN,Nets,NJN2010,2010-2011,2.0,6.0,7.0,15.0,24.0,58.0,Lottery,0.0,0.0,9.0,1.0,5.0,24.6,82.0,57.0,25.0,3966.0,109.6,103.3,6.3,57.6,1.68,17.0,32.5,69.2,51.3,14.1,50.2,54.5,91.78,54.1
Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,12,52,0.188,,,,,,,,,,2010,NJN,Nets,NJN2010,2010-2011,2.0,6.0,7.0,15.0,24.0,58.0,Lottery,0.0,0.0,9.0,1.0,5.0,24.6,82.0,57.0,25.0,3966.0,109.6,103.3,6.3,57.6,1.68,17.0,32.5,69.2,51.3,14.1,50.2,54.5,91.78,54.1
Byron Scott,NOH,6,10,9,3,6,419,203,216,707,352,355,0.498,,,,17.0,8.0,9.0,57.0,33.0,24.0,2010,NOH,Hornets,NOH2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,34,39,0.466,,,,,,,,,,2010,NOH,Hornets,NOH2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,0.544,,,,,,,51.0,26.0,25.0,2010,NYK,NY Knicks,NYK2010,2010-2011,3.0,8.0,3.0,15.0,42.0,40.0,First Round,1.0,0.0,8.0,6.0,1.0,26.2,66.0,31.0,35.0,3173.0,104.5,104.1,0.4,62.0,1.67,17.6,31.4,67.5,49.0,14.8,48.1,52.1,94.68,50.3
Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,0.47700000000000004,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2010,OKC,Thunder,OKC2010,2010-2011,8.0,6.0,1.0,15.0,55.0,27.0,Conference Finals,2.0,0.0,13.0,2.0,0.0,24.1,82.0,34.0,48.0,3961.0,102.8,107.0,-4.2,60.1,1.45,16.9,29.8,70.5,50.2,16.0,48.2,52.8,90.3,48.0
Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,0.654,14.0,10.0,4.0,48.0,28.0,20.0,76.0,45.0,31.0,2010,ORL,Magic,ORL2010,2010-2011,4.0,5.0,4.0,13.0,52.0,30.0,First Round,1.0,0.0,9.0,3.0,1.0,26.3,82.0,17.0,65.0,3956.0,103.2,109.9,-6.7,53.4,1.18,15.0,33.6,69.8,51.2,17.4,48.3,52.6,97.49,44.3
Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,0.428,,,,,,,26.0,8.0,18.0,2010,PHI,76ers,PHI2010,2010-2011,6.0,6.0,3.0,15.0,41.0,41.0,First Round,0.0,0.0,10.0,4.0,1.0,26.0,82.0,30.0,52.0,3976.0,107.0,110.7,-3.7,56.6,1.62,16.8,31.7,68.1,49.1,14.4,49.5,53.3,89.79,46.4
Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,0.483,16.0,10.0,6.0,16.0,10.0,6.0,21.0,12.0,9.0,2010,PHO,Suns,PHO2010,2010-2011,2.0,7.0,5.0,14.0,40.0,42.0,Lottery,0.0,0.0,10.0,2.0,2.0,27.2,66.0,39.0,27.0,3188.0,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.6,47.8,16.2,49.6,53.5,91.11,53.5
Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,0.509,6.0,2.0,4.0,12.0,4.0,8.0,28.0,12.0,16.0,2010,POR,Trail Blazers,POR2010,2010-2011,9.0,2.0,4.0,15.0,48.0,34.0,First Round,0.0,0.0,10.0,2.0,3.0,24.9,82.0,23.0,59.0,3986.0,101.3,109.1,-7.8,52.2,1.27,14.9,31.7,67.1,48.8,16.0,47.1,51.3,94.76,44.5
Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,0.575,,,,,,,49.0,27.0,22.0,2010,SAC,Kings,SAC2010,2010-2011,6.0,6.0,2.0,14.0,24.0,58.0,Lottery,0.0,0.0,8.0,4.0,2.0,24.0,66.0,50.0,16.0,3188.0,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49.0,52.3,89.98,56.1
Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,0.67,10.0,4.0,6.0,175.0,106.0,69.0,175.0,106.0,69.0,2010,SAS,Spurs,SAS2010,2010-2011,7.0,2.0,6.0,15.0,61.0,21.0,First Round,2.0,0.0,7.0,6.0,2.0,26.7,82.0,46.0,36.0,3966.0,105.4,104.4,1.0,57.4,1.58,16.8,28.9,72.1,50.3,14.5,49.3,53.7,89.4,50.7
Jay Triano,TOR,2,2,82,40,42,147,65,82,147,65,82,0.442,,,,,,,,,,2010,TOR,Raptors,TOR2010,2010-2011,4.0,8.0,3.0,15.0,22.0,60.0,Lottery,0.0,0.0,9.0,4.0,2.0,23.8,82.0,36.0,46.0,3966.0,107.1,109.4,-2.3,56.8,1.54,17.0,30.0,65.9,47.6,15.1,51.0,54.4,95.85,47.2
Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,0.604,10.0,4.0,6.0,196.0,96.0,100.0,202.0,98.0,104.0,2010,UTA,Jazz,UTA2010,2010-2011,6.0,3.0,5.0,14.0,39.0,43.0,Lottery,1.0,0.0,5.0,7.0,2.0,26.2,82.0,22.0,60.0,3956.0,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,45.9
Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,0.5760000000000001,,,,,,,98.0,47.0,51.0,2010,WAS,Wizards,WAS2010,2010-2011,7.0,5.0,3.0,15.0,23.0,59.0,Lottery,0.0,0.0,8.0,3.0,4.0,24.4,82.0,48.0,34.0,3961.0,107.3,105.7,1.6,58.8,1.62,16.9,33.1,68.2,49.9,14.5,48.6,53.3,89.13,51.6
Larry Drew,ATL,1,1,82,44,38,82,44,38,82,44,38,0.537,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,2011,ATL,Hawks,ATL2011,2011-2012,4.0,2.0,9.0,15.0,40.0,26.0,First Round,1.0,0.0,11.0,2.0,2.0,29.1,82.0,47.0,35.0,3976.0,105.7,103.4,2.4,51.9,1.43,15.4,29.4,70.1,50.0,14.4,49.6,53.7,90.3,52.2
Doc Rivers,BOS,7,12,82,56,26,574,336,238,913,507,406,0.555,9.0,5.0,4.0,80.0,46.0,34.0,95.0,51.0,44.0,2011,BOS,Celtics,BOS2011,2011-2012,5.0,4.0,6.0,15.0,39.0,27.0,Conference Finals,2.0,0.0,10.0,3.0,2.0,27.3,82.0,40.0,42.0,3981.0,107.5,109.0,-1.5,47.9,1.24,14.4,35.5,69.8,52.3,16.0,49.4,53.6,94.29,48.6
Larry Brown,CHA,3,30,28,9,19,192,88,104,2338,1327,1011,0.568,,,,4.0,0.0,4.0,235.0,120.0,115.0,2011,CHA,Bobcats,CHA2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Silas,CHA,5,11,54,25,29,335,186,149,809,380,429,0.47,,,,23.0,11.0,12.0,29.0,13.0,16.0,2011,CHA,Bobcats,CHA2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Thibodeau,CHI,1,1,82,62,20,82,62,20,82,62,20,0.7559999999999999,16.0,9.0,7.0,16.0,9.0,7.0,16.0,9.0,7.0,2011,CHI,Bulls,CHI2011,2011-2012,6.0,2.0,6.0,14.0,50.0,16.0,First Round,2.0,0.0,7.0,4.0,3.0,27.6,82.0,57.0,25.0,3941.0,108.4,104.1,4.4,63.7,1.71,18.7,27.8,71.3,50.4,15.1,52.5,56.5,92.24,53.8
Byron Scott,CLE,1,11,82,19,63,82,19,63,789,371,418,0.47,,,,,,,57.0,33.0,24.0,2011,CLE,Cavaliers,CLE2011,2011-2012,4.0,5.0,6.0,15.0,21.0,45.0,Lottery,0.0,0.0,5.0,5.0,5.0,24.9,82.0,53.0,29.0,3956.0,110.8,106.5,4.4,55.0,1.51,16.1,30.4,68.7,49.8,14.4,50.9,56.1,95.61,52.4
Rick Carlisle,DAL,3,9,82,57,25,246,162,84,738,443,295,0.6,21.0,16.0,5.0,37.0,23.0,14.0,99.0,53.0,46.0,2011,DAL,Mavericks,DAL2011,2011-2012,3.0,5.0,7.0,15.0,36.0,30.0,First Round,1.0,0.0,13.0,1.0,1.0,29.1,82.0,26.0,56.0,3966.0,103.1,108.3,-5.3,51.8,1.28,15.0,31.7,69.1,50.1,15.9,48.1,52.4,92.6,46.2
George Karl,DEN,7,23,82,50,32,532,328,204,1739,1036,703,0.596,5.0,1.0,4.0,46.0,16.0,30.0,172.0,75.0,97.0,2011,DEN,Nuggets,DEN2011,2011-2012,3.0,9.0,3.0,15.0,38.0,28.0,First Round,0.0,0.0,12.0,0.0,3.0,25.1,82.0,29.0,53.0,3976.0,106.4,110.3,-4.0,56.7,1.54,16.6,26.8,69.1,47.6,14.6,50.9,54.7,95.03,47.4
John Kuester,DET,2,2,82,30,52,164,57,107,164,57,107,0.348,,,,,,,,,,2011,DET,Pistons,DET2011,2011-2012,8.0,0.0,6.0,14.0,25.0,41.0,Lottery,0.0,0.0,8.0,2.0,4.0,26.5,82.0,54.0,28.0,3946.0,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6
Keith Smart,GSW,1,2,82,36,46,82,36,46,122,45,77,0.369,,,,,,,,,,2011,GSW,Warriors,GSW2011,2011-2012,5.0,4.0,6.0,15.0,23.0,43.0,Lottery,0.0,0.0,9.0,3.0,3.0,25.2,82.0,32.0,50.0,3941.0,103.0,106.0,-3.0,57.3,1.4,16.1,25.5,69.0,47.3,15.4,49.1,53.6,97.77,47.6
Rick Adelman,HOU,4,20,82,43,39,328,193,135,1561,945,616,0.605,,,,19.0,9.0,10.0,157.0,79.0,78.0,2011,HOU,Rockets,HOU2011,2011-2012,5.0,5.0,5.0,15.0,34.0,32.0,Lottery,0.0,0.0,7.0,4.0,4.0,25.9,82.0,26.0,56.0,3946.0,107.0,110.3,-3.3,55.2,1.53,16.5,25.4,65.9,45.3,14.4,51.4,55.7,101.52,47.0
Jim O'Brien,IND,4,9,44,17,27,290,121,169,630,303,327,0.48100000000000004,,,,,,,31.0,14.0,17.0,2011,IND,Pacers,IND2011,2011-2012,7.0,4.0,4.0,15.0,42.0,24.0,Second Round,1.0,0.0,10.0,4.0,1.0,25.9,82.0,42.0,40.0,3981.0,106.8,106.8,0.0,57.9,1.51,16.5,30.9,69.9,49.8,15.1,49.4,53.7,94.91,48.9
Frank Vogel,IND,1,1,38,20,18,38,20,18,38,20,18,0.526,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2011,IND,Pacers,IND2011,2011-2012,7.0,4.0,4.0,15.0,42.0,24.0,Second Round,1.0,0.0,10.0,4.0,1.0,25.9,82.0,42.0,40.0,3981.0,106.8,106.8,0.0,57.9,1.51,16.5,30.9,69.9,49.8,15.1,49.4,53.7,94.91,48.9
Vinny Del Negro,LAC,1,3,82,32,50,82,32,50,246,114,132,0.46299999999999997,,,,,,,12.0,4.0,8.0,2011,LAC,Clippers,LAC2011,2011-2012,5.0,3.0,7.0,15.0,40.0,26.0,Second Round,2.0,0.0,8.0,6.0,1.0,26.7,82.0,40.0,42.0,3956.0,110.2,112.2,-2.0,56.4,1.64,17.1,28.8,69.2,49.5,14.2,52.1,56.4,93.94,48.9
Phil Jackson,LAL,11,20,82,57,25,902,610,292,1640,1155,485,0.7040000000000001,10.0,4.0,6.0,181.0,118.0,63.0,333.0,229.0,104.0,2011,LAL,Lakers,LAL2011,2011-2012,5.0,4.0,5.0,14.0,41.0,25.0,Second Round,2.0,0.0,7.0,7.0,0.0,26.2,82.0,29.0,53.0,3941.0,102.3,109.1,-6.8,60.3,1.41,17.1,30.5,69.7,50.0,16.8,49.1,52.9,93.44,46.5
Lionel Hollins,MEM,5,5,82,46,36,267,117,150,267,117,150,0.43799999999999994,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2011,MEM,Grizzlies,MEM2011,2011-2012,6.0,3.0,6.0,15.0,41.0,25.0,First Round,1.0,0.0,8.0,5.0,2.0,24.9,82.0,12.0,70.0,3956.0,99.3,108.9,-9.6,54.7,1.3,15.1,28.5,68.6,47.8,15.5,45.8,50.9,92.65,42.9
Erik Spoelstra,MIA,3,3,82,58,24,246,148,98,246,148,98,0.602,21.0,14.0,7.0,33.0,18.0,15.0,33.0,18.0,15.0,2011,MIA,Heat,MIA2011,2011-2012,4.0,2.0,9.0,15.0,46.0,20.0,NBA Champion,3.0,1.0,8.0,4.0,3.0,28.1,82.0,50.0,32.0,3971.0,109.6,106.1,3.5,56.3,1.65,16.6,32.0,70.2,51.0,13.8,49.9,54.7,88.64,52.5
Scott Skiles,MIL,3,11,82,35,47,246,115,131,778,396,382,0.509,,,,7.0,3.0,4.0,42.0,18.0,24.0,2011,MIL,Bucks,MIL2011,2011-2012,6.0,7.0,2.0,15.0,31.0,35.0,Lottery,0.0,0.0,10.0,5.0,0.0,25.0,82.0,50.0,32.0,3961.0,107.0,103.5,3.5,53.5,1.34,15.5,32.0,69.4,51.1,15.8,49.4,54.7,94.13,53.2
Kurt Rambis,MIN,2,3,82,17,65,164,32,132,201,56,145,0.27899999999999997,,,,,,,8.0,3.0,5.0,2011,MIN,Timberwolves,MIN2011,2011-2012,7.0,5.0,3.0,15.0,26.0,40.0,Lottery,1.0,0.0,10.0,2.0,3.0,24.3,82.0,59.0,23.0,3946.0,110.7,102.8,7.9,53.7,1.4,15.8,28.0,72.6,51.2,15.2,53.6,57.3,92.54,55.1
Avery Johnson,NJN,1,5,82,24,58,82,24,58,346,218,128,0.63,,,,,,,47.0,23.0,24.0,2011,NJN,Nets,NJN2011,2011-2012,4.0,4.0,7.0,15.0,22.0,44.0,Lottery,1.0,0.0,11.0,2.0,2.0,24.8,82.0,27.0,55.0,3961.0,104.8,108.9,-4.1,55.8,1.45,16.4,31.0,69.3,49.8,15.6,49.6,53.4,92.72,47.8
Monty Williams,NOH,1,1,82,46,36,82,46,36,82,46,36,0.561,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2011,NOH,Hornets,NOH2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike D'Antoni,NYK,3,9,82,42,40,246,103,143,685,370,315,0.54,4.0,0.0,4.0,4.0,0.0,4.0,55.0,26.0,29.0,2011,NYK,NY Knicks,NYK2011,2011-2012,5.0,3.0,5.0,14.0,36.0,30.0,First Round,1.0,0.0,9.0,5.0,0.0,26.9,82.0,50.0,32.0,3956.0,109.3,103.9,5.4,58.1,1.64,17.4,30.3,72.0,51.5,14.7,51.5,55.2,92.26,53.2
Scott Brooks,OKC,3,3,82,55,27,233,127,106,233,127,106,0.545,17.0,9.0,8.0,23.0,11.0,12.0,23.0,11.0,12.0,2011,OKC,Thunder,OKC2011,2011-2012,7.0,6.0,2.0,15.0,47.0,19.0,NBA Finals (Loss),2.0,0.0,14.0,1.0,0.0,25.5,82.0,27.0,55.0,3956.0,104.5,110.3,-5.9,54.1,1.45,15.5,34.6,69.7,51.0,14.9,47.4,51.5,89.46,44.8
Stan Van Gundy,ORL,4,7,82,52,30,328,222,106,513,334,179,0.6509999999999999,6.0,2.0,4.0,54.0,30.0,24.0,82.0,47.0,35.0,2011,ORL,Magic,ORL2011,2011-2012,6.0,6.0,3.0,15.0,37.0,29.0,First Round,1.0,0.0,9.0,5.0,1.0,25.6,82.0,25.0,57.0,3976.0,104.4,109.1,-4.7,53.4,1.37,15.7,31.5,70.0,50.4,15.6,49.1,52.8,94.78,46.7
Doug Collins,PHI,1,9,82,41,41,82,41,41,701,373,328,0.532,5.0,1.0,4.0,5.0,1.0,4.0,43.0,16.0,27.0,2011,PHI,76ers,PHI2011,2011-2012,7.0,4.0,3.0,14.0,35.0,31.0,Second Round,1.0,0.0,9.0,4.0,1.0,24.5,82.0,37.0,45.0,3966.0,106.5,108.9,-2.4,57.5,1.66,17.3,28.2,69.6,48.6,14.3,50.6,54.3,93.53,48.4
Alvin Gentry,PHO,3,10,82,40,42,195,112,83,598,289,309,0.483,,,,16.0,10.0,6.0,21.0,12.0,9.0,2011,PHO,Suns,PHO2011,2011-2012,2.0,4.0,7.0,13.0,33.0,33.0,Lottery,1.0,0.0,10.0,2.0,1.0,28.1,82.0,53.0,29.0,3971.0,111.0,106.0,4.9,56.2,1.83,17.1,32.0,68.5,50.2,13.0,50.6,54.5,90.77,52.3
Nate McMillan,POR,6,11,82,48,34,492,246,246,887,458,429,0.516,6.0,2.0,4.0,18.0,6.0,12.0,34.0,14.0,20.0,2011,POR,Trail Blazers,POR2011,2011-2012,5.0,4.0,5.0,15.0,28.0,38.0,Lottery,1.0,0.0,13.0,1.0,1.0,25.6,82.0,41.0,41.0,3981.0,102.6,104.2,-1.6,55.3,1.45,16.0,30.3,70.9,50.9,15.1,47.7,52.0,94.02,50.0
Paul Westphal,SAC,2,9,82,24,58,164,49,115,590,316,274,0.536,,,,,,,49.0,27.0,22.0,2011,SAC,Kings,SAC2011,2011-2012,8.0,3.0,3.0,14.0,22.0,44.0,Lottery,0.0,0.0,9.0,4.0,1.0,24.0,82.0,39.0,43.0,3976.0,107.0,108.8,-1.8,62.7,1.63,18.0,31.4,67.9,49.6,15.4,49.8,54.4,92.03,50.0
Gregg Popovich,SAS,15,15,82,61,21,1180,797,383,1180,797,383,0.675,6.0,2.0,4.0,181.0,108.0,73.0,181.0,108.0,73.0,2011,SAS,Spurs,SAS2011,2011-2012,8.0,2.0,5.0,15.0,50.0,16.0,Conference Finals,1.0,0.0,7.0,7.0,1.0,26.4,82.0,15.0,67.0,3956.0,100.6,110.4,-9.8,52.4,1.22,15.0,30.8,70.5,50.1,16.7,47.8,51.8,97.12,43.2
Jay Triano,TOR,3,3,82,22,60,229,87,142,229,87,142,0.38,,,,,,,,,,2011,TOR,Raptors,TOR2011,2011-2012,4.0,3.0,7.0,14.0,23.0,43.0,Lottery,0.0,0.0,7.0,3.0,4.0,25.1,82.0,61.0,21.0,3956.0,110.6,103.8,6.8,59.2,1.61,17.7,29.3,72.5,51.9,15.0,53.2,57.0,91.77,55.2
Jerry Sloan,UTA,23,26,54,31,23,1809,1127,682,2024,1221,803,0.603,,,,196.0,96.0,100.0,202.0,98.0,104.0,2011,UTA,Jazz,UTA2011,2011-2012,6.0,3.0,6.0,15.0,36.0,30.0,First Round,0.0,0.0,9.0,4.0,2.0,25.7,82.0,56.0,26.0,3956.0,105.5,99.8,5.7,63.5,1.61,18.8,25.7,70.9,49.7,15.9,51.9,56.1,90.92,55.8
Tyrone Corbin,UTA,1,1,28,8,20,28,8,20,28,8,20,0.28600000000000003,,,,,,,,,,2011,UTA,Jazz,UTA2011,2011-2012,6.0,3.0,6.0,15.0,36.0,30.0,First Round,0.0,0.0,9.0,4.0,2.0,25.7,82.0,56.0,26.0,3956.0,105.5,99.8,5.7,63.5,1.61,18.8,25.7,70.9,49.7,15.9,51.9,56.1,90.92,55.8
Flip Saunders,WAS,2,15,82,23,59,164,49,115,1147,636,511,0.5539999999999999,,,,,,,98.0,47.0,51.0,2011,WAS,Wizards,WAS2011,2011-2012,7.0,4.0,4.0,15.0,20.0,46.0,Lottery,0.0,0.0,9.0,3.0,3.0,25.1,82.0,44.0,38.0,3976.0,103.9,102.0,1.9,58.0,1.29,16.1,31.5,69.8,51.0,17.2,49.0,53.8,90.91,51.8
Larry Drew,ATL,2,2,66,40,26,148,84,64,148,84,64,0.568,6.0,2.0,4.0,18.0,8.0,10.0,18.0,8.0,10.0,2012,ATL,Hawks,ATL2012,2012-2013,5.0,5.0,5.0,15.0,44.0,38.0,First Round,0.0,0.0,8.0,5.0,2.0,26.4,82.0,43.0,39.0,3991.0,106.8,106.5,0.3,55.1,1.63,16.3,28.2,69.3,48.4,13.6,50.0,54.0,90.8,50.5
Doc Rivers,BOS,8,13,66,39,27,640,375,265,979,546,433,0.5579999999999999,20.0,11.0,9.0,100.0,57.0,43.0,115.0,62.0,53.0,2012,BOS,Celtics,BOS2012,2012-2013,5.0,5.0,5.0,15.0,41.0,40.0,First Round,2.0,0.0,13.0,1.0,1.0,26.7,82.0,23.0,59.0,3961.0,101.4,107.6,-6.2,55.5,1.25,15.6,30.9,71.6,50.8,17.0,47.1,52.1,95.1,46.4
Paul Silas,CHA,6,12,66,7,59,401,193,208,875,387,488,0.442,,,,23.0,11.0,12.0,29.0,13.0,16.0,2012,CHA,Bobcats,CHA2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Thibodeau,CHI,2,2,66,50,16,148,112,36,148,112,36,0.757,6.0,2.0,4.0,22.0,11.0,11.0,22.0,11.0,11.0,2012,CHI,Bulls,CHI2012,2012-2013,6.0,1.0,8.0,15.0,45.0,37.0,Second Round,2.0,0.0,13.0,1.0,1.0,27.1,82.0,41.0,41.0,3986.0,107.2,107.5,-0.3,55.4,1.45,16.1,32.1,67.5,49.8,15.3,49.3,54.1,94.1,49.9
Byron Scott,CLE,2,12,66,21,45,148,40,108,855,392,463,0.45799999999999996,,,,,,,57.0,33.0,24.0,2012,CLE,Cavaliers,CLE2012,2012-2013,6.0,4.0,4.0,15.0,24.0,58.0,Lottery,1.0,0.0,8.0,4.0,3.0,24.5,82.0,46.0,36.0,3951.0,112.4,110.4,2.0,56.5,1.48,17.4,30.8,68.2,50.3,16.1,54.5,58.4,96.99,52.5
Rick Carlisle,DAL,4,10,66,36,30,312,198,114,804,479,325,0.596,4.0,0.0,4.0,41.0,23.0,18.0,103.0,53.0,50.0,2012,DAL,Mavericks,DAL2012,2012-2013,5.0,3.0,7.0,15.0,41.0,41.0,Lottery,0.0,0.0,10.0,2.0,3.0,27.9,82.0,34.0,48.0,3956.0,105.2,106.3,-1.1,59.9,1.56,16.8,31.0,69.9,49.6,14.9,48.3,53.1,93.89,48.5
George Karl,DEN,8,24,66,38,28,598,366,232,1805,1074,731,0.595,7.0,3.0,4.0,53.0,19.0,34.0,179.0,78.0,101.0,2012,DEN,Nuggets,DEN2012,2012-2013,5.0,8.0,2.0,15.0,57.0,25.0,First Round,0.0,0.0,12.0,1.0,2.0,24.1,82.0,33.0,49.0,3961.0,105.5,108.6,-3.0,60.1,1.67,17.5,27.6,70.6,49.3,14.3,49.4,54.2,93.26,49.2
Lawrence Frank,DET,1,8,66,25,41,66,25,41,532,250,282,0.47,,,,,,,38.0,18.0,20.0,2012,DET,Pistons,DET2012,2012-2013,9.0,2.0,3.0,14.0,29.0,53.0,Lottery,0.0,0.0,7.0,4.0,3.0,25.0,82.0,55.0,27.0,3976.0,107.8,105.0,2.8,61.1,1.81,18.0,27.9,69.7,49.3,13.7,50.6,55.2,93.6,53.4
Mark Jackson,GSW,1,1,66,23,43,66,23,43,66,23,43,0.348,,,,,,,,,,2012,GSW,Warriors,GSW2012,2012-2013,6.0,5.0,4.0,15.0,47.0,35.0,Second Round,1.0,0.0,10.0,2.0,3.0,25.2,82.0,24.0,58.0,3961.0,104.9,109.9,-5.0,56.1,1.44,15.9,32.1,71.7,51.1,15.2,48.1,52.6,92.76,45.3
Kevin McHale,HOU,1,3,66,34,32,66,34,32,160,73,87,0.456,,,,,,,,,,2012,HOU,Rockets,HOU2012,2012-2013,4.0,3.0,8.0,15.0,45.0,37.0,First Round,1.0,0.0,9.0,3.0,3.0,23.6,82.0,59.0,23.0,3946.0,108.3,101.3,7.1,54.4,1.39,15.6,27.3,71.7,50.2,14.9,52.0,55.9,92.99,54.5
