coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Phil Jackson,LAL,5,14,82,56,26,410,287,123,1148,832,316,.725,22,13,9,92,64,28,244,175,69,2004
Hubie Brown,MEM,2,14,82,50,32,156,78,78,1075,523,552,.487,4,0,4,4,0,4,63,31,32,2004
Stan Van Gundy,MIA,1,1,82,42,40,82,42,40,82,42,40,.512,13,6,7,13,6,7,13,6,7,2004
Terry Porter,MIL,1,1,82,41,41,82,41,41,82,41,41,.500,5,1,4,5,1,4,5,1,4,2004
Flip Saunders,MIN,9,9,82,58,24,686,386,300,686,386,300,.563,18,10,8,47,17,30,47,17,30,2004
Byron Scott,NJN,4,4,42,22,20,288,149,139,288,149,139,.517,,,,40,25,15,40,25,15,2004
Lawrence Frank,NJN,1,1,40,25,15,40,25,15,40,25,15,.625,11,7,4,11,7,4,11,7,4,2004
Tim Floyd,NOH,1,5,82,41,41,82,41,41,321,90,231,.280,7,3,4,7,3,4,7,3,4,2004
Don Chaney,NYK,3,12,39,15,24,184,72,112,831,337,494,.406,,,,,,,11,2,9,2004
Herb Williams,NYK,1,1,1,1,0,1,1,0,1,1,0,1.000,,,,,,,,,,2004
Lenny Wilkens,NYK,1,31,42,23,19,42,23,19,2448,1315,1133,.537,4,0,4,4,0,4,178,80,98,2004
Doc Rivers,ORL,5,5,11,1,10,339,171,168,339,171,168,.504,,,,15,5,10,15,5,10,2004
Johnny Davis,ORL,1,2,71,20,51,71,20,51,153,42,111,.275,,,,,,,,,,2004
Randy Ayers,PHI,1,1,52,21,31,52,21,31,52,21,31,.404,,,,,,,,,,2004
Chris Ford,PHI,1,10,30,12,18,30,12,18,699,323,376,.462,,,,,,,29,13,16,2004
Frank Johnson,PHO,3,3,21,8,13,134,63,71,134,63,71,.470,,,,6,2,4,6,2,4,2004
Mike D'Antoni,PHO,1,2,61,21,40,61,21,40,111,35,76,.315,,,,,,,,,,2004
Maurice Cheeks,POR,3,3,82,41,41,246,140,106,246,140,106,.569,,,,10,3,7,10,3,7,2004
Rick Adelman,SAC,6,14,82,55,27,460,301,159,1069,658,411,.616,12,7,5,58,31,27,127,67,60,2004
Gregg Popovich,SAS,8,8,82,57,25,606,396,210,606,396,210,.653,10,6,4,87,53,34,87,53,34,2004
Nate McMillan,SEA,4,4,82,37,45,313,160,153,313,160,153,.511,,,,5,2,3,5,2,3,2004
Kevin O'Neill,TOR,1,1,82,33,49,82,33,49,82,33,49,.402,,,,,,,,,,2004
Jerry Sloan,UTA,16,19,82,42,40,1263,823,440,1478,917,561,.620,,,,152,76,76,158,78,80,2004
Eddie Jordan,WAS,1,3,82,25,57,82,25,57,179,58,121,.324,,,,,,,,,,2004
Mike Woodson,ATL,1,1,82,13,69,82,13,69,82,13,69,.159,,,,,,,,,,2005
Doc Rivers,BOS,1,6,82,45,37,82,45,37,421,216,205,.513,7,3,4,7,3,4,22,8,14,2005
Bernie Bickerstaff,CHA,1,11,82,18,64,82,18,64,768,356,412,.464,,,,,,,33,12,21,2005
Scott Skiles,CHI,2,5,82,47,35,148,66,82,343,182,161,.531,6,2,4,6,2,4,19,7,12,2005
Paul Silas,CLE,2,10,64,34,30,146,69,77,755,355,400,.470,,,,,,,29,13,16,2005
Brendan Malone,CLE,1,2,18,8,10,18,8,10,100,29,71,.290,,,,,,,,,,2005
Don Nelson,DAL,8,27,64,42,22,590,339,251,2070,1190,880,.575,,,,43,19,24,155,70,85,2005
Avery Johnson,DAL,1,1,18,16,2,18,16,2,18,16,2,.889,13,6,7,13,6,7,13,6,7,2005
Jeff Bzdelik,DEN,3,3,28,13,15,192,73,119,192,73,119,.380,,,,5,1,4,5,1,4,2005
Michael Cooper,DEN,1,1,14,4,10,14,4,10,14,4,10,.286,,,,,,,,,,2005
George Karl,DEN,1,17,40,32,8,40,32,8,1247,740,507,.593,5,1,4,5,1,4,131,60,71,2005
Larry Brown,DET,2,26,82,54,28,164,108,56,2064,1216,848,.589,25,15,10,48,31,17,231,120,111,2005
Mike Montgomery,GSW,1,1,82,34,48,82,34,48,82,34,48,.415,,,,,,,,,,2005
Jeff Van Gundy,HOU,2,9,82,51,31,164,96,68,584,344,240,.589,7,3,4,12,4,8,81,41,40,2005
Rick Carlisle,IND,2,4,82,44,38,164,105,59,328,205,123,.625,13,6,7,29,16,13,56,28,28,2005
Mike Dunleavy,LAC,2,12,82,37,45,164,65,99,952,463,489,.486,,,,,,,59,31,28,2005
Rudy Tomjanovich,LAL,1,13,43,24,19,43,24,19,943,527,416,.559,,,,,,,90,51,39,2005
Frank Hamblen,LAL,1,2,39,10,29,39,10,29,104,33,71,.317,,,,,,,,,,2005
Hubie Brown,MEM,3,15,12,5,7,168,83,85,1087,528,559,.486,,,,4,0,4,63,31,32,2005
Lionel Hollins,MEM,2,2,4,0,4,64,18,46,64,18,46,.281,,,,,,,,,,2005
Mike Fratello,MEM,1,15,66,40,26,66,40,26,1103,612,491,.555,4,0,4,4,0,4,58,20,38,2005
Stan Van Gundy,MIA,2,2,82,59,23,164,101,63,164,101,63,.616,15,11,4,28,17,11,28,17,11,2005
Terry Porter,MIL,2,2,82,30,52,164,71,93,164,71,93,.433,,,,5,1,4,5,1,4,2005
Flip Saunders,MIN,10,10,51,25,26,737,411,326,737,411,326,.558,,,,47,17,30,47,17,30,2005
Kevin McHale,MIN,1,1,31,19,12,31,19,12,31,19,12,.613,,,,,,,,,,2005
Lawrence Frank,NJN,2,2,82,42,40,122,67,55,122,67,55,.549,4,0,4,15,7,8,15,7,8,2005
Byron Scott,NOH,1,5,82,18,64,82,18,64,370,167,203,.451,,,,,,,40,25,15,2005
Lenny Wilkens,NYK,2,32,39,17,22,81,40,41,2487,1332,1155,.536,,,,4,0,4,178,80,98,2005
Herb Williams,NYK,2,2,43,16,27,44,17,27,44,17,27,.386,,,,,,,,,,2005
Johnny Davis,ORL,2,3,64,31,33,135,51,84,217,73,144,.336,,,,,,,,,,2005
Chris Jent,ORL,1,1,18,5,13,18,5,13,18,5,13,.278,,,,,,,,,,2005
Jim O'Brien,PHI,1,5,82,43,39,82,43,39,340,182,158,.535,5,1,4,5,1,4,31,14,17,2005
Mike D'Antoni,PHO,2,3,82,62,20,143,83,60,193,97,96,.503,15,9,6,15,9,6,15,9,6,2005
Maurice Cheeks,POR,4,4,55,22,33,301,162,139,301,162,139,.538,,,,10,3,7,10,3,7,2005
Kevin Pritchard,POR,1,1,27,5,22,27,5,22,27,5,22,.185,,,,,,,,,,2005
Rick Adelman,SAC,7,15,82,50,32,542,351,191,1151,708,443,.615,5,1,4,63,32,31,132,68,64,2005
Gregg Popovich,SAS,9,9,82,59,23,688,455,233,688,455,233,.661,23,16,7,110,69,41,110,69,41,2005
Nate McMillan,SEA,5,5,82,52,30,395,212,183,395,212,183,.537,11,6,5,16,8,8,16,8,8,2005
Sam Mitchell,TOR,1,1,82,33,49,82,33,49,82,33,49,.402,,,,,,,,,,2005
Jerry Sloan,UTA,17,20,82,26,56,1345,849,496,1560,943,617,.604,,,,152,76,76,158,78,80,2005
Eddie Jordan,WAS,2,4,82,45,37,164,70,94,261,103,158,.395,10,4,6,10,4,6,10,4,6,2005
Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,39,125,.238,,,,,,,,,,2006
Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,249,254,.495,,,,7,3,4,22,8,14,2006
Bernie Bickerstaff,CHA,2,12,82,26,56,164,44,120,850,382,468,.449,,,,,,,33,12,21,2006
Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,223,202,.525,6,2,4,12,4,8,25,9,16,2006
Mike Brown,CLE,1,1,82,50,32,82,50,32,82,50,32,.610,13,7,6,13,7,6,13,7,6,2006
Avery Johnson,DAL,2,2,82,60,22,100,76,24,100,76,24,.760,23,14,9,36,20,16,36,20,16,2006
George Karl,DEN,2,18,82,44,38,122,76,46,1329,784,545,.590,5,1,4,10,2,8,136,61,75,2006
Flip Saunders,DET,1,11,82,64,18,82,64,18,819,475,344,.580,18,10,8,18,10,8,65,27,38,2006
Mike Montgomery,GSW,2,2,82,34,48,164,68,96,164,68,96,.415,,,,,,,,,,2006
Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,378,288,.568,,,,12,4,8,81,41,40,2006
Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,246,164,.600,6,2,4,35,18,17,62,30,32,2006
Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,510,524,.493,12,7,5,12,7,5,71,38,33,2006
Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,877,353,.713,7,3,4,99,67,32,251,178,73,2006
Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,661,524,.558,4,0,4,8,0,8,62,20,42,2006
Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,112,73,.605,,,,28,17,11,28,17,11,2006
Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,1151,589,.661,23,16,7,66,34,32,278,171,107,2006
Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,92,127,.420,5,1,4,5,1,4,5,1,4,2006
Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,33,49,.402,,,,,,,,,,2006
Lawrence Frank,NJN,3,3,82,49,33,204,116,88,204,116,88,.569,11,5,6,26,12,14,26,12,14,2006
Byron Scott,NOK,2,6,82,38,44,164,56,108,452,205,247,.454,,,,,,,40,25,15,2006
Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,1239,907,.577,,,,,,,231,120,111,2006
Brian Hill,ORL,5,8,82,36,46,377,227,150,531,258,273,.486,,,,36,18,18,36,18,18,2006
Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,200,183,.522,,,,,,,10,3,7,2006
Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,151,124,.549,20,10,10,35,19,16,35,19,16,2006
Nate McMillan,POR,1,6,82,21,61,82,21,61,477,233,244,.488,,,,,,,16,8,8,2006
Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,752,481,.610,6,2,4,69,34,35,138,70,68,2006
Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,518,252,.673,13,7,6,123,76,47,123,76,47,2006
Bob Weiss,SEA,1,7,30,13,17,30,13,17,522,223,299,.427,,,,,,,11,2,9,2006
Bob Hill,SEA,1,8,52,22,30,52,22,30,521,279,242,.536,,,,,,,37,17,20,2006
Sam Mitchell,TOR,2,2,82,27,55,164,60,104,164,60,104,.366,,,,,,,,,,2006
Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,984,658,.599,,,,152,76,76,158,78,80,2006
Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,145,198,.423,6,2,4,16,6,10,16,6,10,2006
Mike Woodson,ATL,3,3,82,30,52,246,69,177,246,69,177,.280,,,,,,,,,,2007
Doc Rivers,BOS,3,8,82,24,58,246,102,144,585,273,312,.467,,,,7,3,4,22,8,14,2007
Bernie Bickerstaff,CHA,3,13,82,33,49,246,77,169,932,415,517,.445,,,,,,,33,12,21,2007
Scott Skiles,CHI,4,7,82,49,33,312,156,156,507,272,235,.536,10,6,4,22,10,12,35,15,20,2007
Mike Brown,CLE,2,2,82,50,32,164,100,64,164,100,64,.610,20,12,8,33,19,14,33,19,14,2007
Avery Johnson,DAL,3,3,82,67,15,182,143,39,182,143,39,.786,6,2,4,42,22,20,42,22,20,2007
George Karl,DEN,3,19,82,45,37,204,121,83,1411,829,582,.588,5,1,4,15,3,12,141,62,79,2007
Flip Saunders,DET,2,12,82,53,29,164,117,47,901,528,373,.586,16,10,6,34,20,14,81,37,44,2007
Don Nelson,GSW,8,28,82,42,40,619,319,300,2152,1232,920,.572,11,5,6,35,14,21,166,75,91,2007
Jeff Van Gundy,HOU,4,11,82,52,30,328,182,146,748,430,318,.575,7,3,4,19,7,12,88,44,44,2007
Rick Carlisle,IND,4,6,82,35,47,328,181,147,492,281,211,.571,,,,35,18,17,62,30,32,2007
Mike Dunleavy,LAC,4,14,82,40,42,328,152,176,1116,550,566,.493,,,,12,7,5,71,38,33,2007
Phil Jackson,LAL,7,16,82,42,40,574,374,200,1312,919,393,.700,5,1,4,104,68,36,256,179,77,2007
Mike Fratello,MEM,3,17,30,6,24,178,95,83,1215,667,548,.549,,,,8,0,8,62,20,42,2007
Tony Barone,MEM,1,1,52,16,36,52,16,36,52,16,36,.308,,,,,,,,,,2007
Pat Riley,MIA,10,23,82,44,38,767,439,328,1822,1195,627,.656,4,0,4,70,34,36,282,171,111,2007
Terry Stotts,MIL,2,4,64,23,41,146,63,83,283,115,168,.406,,,,5,1,4,5,1,4,2007
Larry Krystkowiak,MIL,1,1,18,5,13,18,5,13,18,5,13,.278,,,,,,,,,,2007
Dwane Casey,MIN,2,2,40,20,20,122,53,69,122,53,69,.434,,,,,,,,,,2007
Randy Wittman,MIN,1,3,42,12,30,42,12,30,206,74,132,.359,,,,,,,,,,2007
Lawrence Frank,NJN,4,4,82,41,41,286,157,129,286,157,129,.549,12,6,6,38,18,20,38,18,20,2007
Byron Scott,NOK,3,7,82,39,43,246,95,151,534,244,290,.457,,,,,,,40,25,15,2007
Isiah Thomas,NYK,1,4,82,33,49,82,33,49,328,164,164,.500,,,,,,,15,5,10,2007
Brian Hill,ORL,6,9,82,40,42,459,267,192,613,298,315,.486,4,0,4,40,18,22,40,18,22,2007
Maurice Cheeks,PHI,2,6,82,35,47,164,73,91,465,235,230,.505,,,,,,,10,3,7,2007
Mike D'Antoni,PHO,4,5,82,61,21,307,198,109,357,212,145,.594,11,6,5,46,25,21,46,25,21,2007
Nate McMillan,POR,2,7,82,32,50,164,53,111,559,265,294,.474,,,,,,,16,8,8,2007
Eric Musselman,SAC,1,3,82,33,49,82,33,49,246,108,138,.439,,,,,,,,,,2007
Gregg Popovich,SAS,11,11,82,58,24,852,576,276,852,576,276,.676,20,16,4,143,92,51,143,92,51,2007
Bob Hill,SEA,2,9,82,31,51,134,53,81,603,310,293,.514,,,,,,,37,17,20,2007
Sam Mitchell,TOR,3,3,82,47,35,246,107,139,246,107,139,.435,6,2,4,6,2,4,6,2,4,2007
Jerry Sloan,UTA,19,22,82,51,31,1509,941,568,1724,1035,689,.600,17,9,8,169,85,84,175,87,88,2007
Eddie Jordan,WAS,4,6,82,41,41,328,153,175,425,186,239,.438,4,0,4,20,6,14,20,6,14,2007
Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,106,222,.323,7,3,4,7,3,4,7,3,4,2008
Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,339,328,.508,26,16,10,33,19,14,48,24,24,2008
